AccidentID,Collision_Date,Year,Month,Weekday,Hour,Collision Type,How Collision Occurred,Injury Severity,Division,Ward,Intersection,OperatorDistracted,OperatorImpaired
1801050475,2018-01-05,2018,Jan,Friday,1500,Vehicle / Pedestrian,Other,Non-Incapacitating Injury,East,2,Broadway Bl / Camino Seco,0,0
1801050545,2018-01-05,2018,Jan,Friday,1800,Vehicle / Vehicle,Left Turn,Incapacitating Injury,West,3,1st Av / Roger Rd,0,0
1801050120,2018-01-05,2018,Jan,Friday,0500,Vehicle / Vehicle,"Sideswipe, Opposite Direction",No Injury,West,1,Saint Clair St,1,0
1801050125,2018-01-05,2018,Jan,Friday,0500,Vehicle / Vehicle,Head-On (Front To Front),No Injury,West,1,Melrose Av N,1,0
1801050161,2018-01-05,2018,Jan,Friday,0800,Vehicle / Vehicle,Rear-End (Front To Back),Possible Injury,West,6,Freeway / Congress St,1,0
1801050320,2018-01-05,2018,Jan,Friday,1200,Vehicle / Vehicle,"Sideswipe, Same Direction",No Injury,West,3,Campbell Av / River Rd,0,0
1801050554,2018-01-05,2018,Jan,Friday,1700,Single Vehicle,Single Vehicle,No Injury,Midtown,4,Beverly Av / 29th St,0,0
1801050353,2018-01-05,2018,Jan,Friday,1300,Vehicle / Vehicle,Rear-End (Front To Back),No Injury,Midtown,2,Camp Lowell Dr / Swan Rd,1,1
1801050613,2018-01-05,2018,Jan,Friday,2000,Vehicle / Vehicle,Left Turn,No Injury,Midtown,6,Grant Rd / Venice Pl,0,0
1801050402,2018-01-05,2018,Jan,Friday,1200,Vehicle / Motorcycle,Angle (Front To Side),Non-Incapacitating Injury,Midtown,6,Bryant Av S,1,0
1801050602,2018-01-05,2018,Jan,Friday,1900,Vehicle / Pedestrian,Other,Fatal Injury,West,3,1st Av / Prince Rd,1,0
1801050670,2018-01-05,2018,Jan,Friday,2100,Vehicle / Vehicle,Rear-End (Front To Back),No Injury,West,6,Mccormick St / Stone Av,1,0
1801050493,2018-01-05,2018,Jan,Friday,1500,Vehicle / Vehicle,Rear-End (Front To Back),Possible Injury,East,6,Craycroft Rd / Speedway Bl,1,0
1801050575,2018-01-05,2018,Jan,Friday,1900,Vehicle / Vehicle,Left Turn,No Injury,West,3,Grant Rd / 1st Av,1,0
1801050408,2018-01-05,2018,Jan,Friday,1400,Vehicle / Vehicle,Angle (Front To Side),No Injury,Midtown,3,Prince Rd / Campbell Av,0,0
1801050584,2018-01-05,2018,Jan,Friday,1800,Vehicle / Vehicle,Left Turn,No Injury,Midtown,6,Swan Rd / Pima St,1,0
1801060256,2018-01-06,2018,Jan,Saturday,1200,Vehicle / Vehicle,Left Turn,Non-Incapacitating Injury,South,5,Ajo Wy / 12th Av,0,0
1801060554,2018-01-06,2018,Jan,Saturday,2100,Vehicle / Motorcycle,Left Turn,Non-Incapacitating Injury,East,2,Kolb Rd / Golf Links Rd,1,1
1801060094,2018-01-06,2018,Jan,Saturday,0200,Vehicle / Vehicle,Rear-End (Front To Back),Possible Injury,South,1,Midvale Park Rd / Valencia Rd,1,0
1801060499,2018-01-06,2018,Jan,Saturday,1900,Vehicle / Vehicle,Left Turn,No Injury,East,2,Pantano Rd / Broadway Bl,0,0
1801060187,2018-01-06,2018,Jan,Saturday,0800,Vehicle / Pedestrian,Other,No Injury,Midtown,6,Sycamore Bl / Grant Rd,1,0
1801060309,2018-01-06,2018,Jan,Saturday,1400,Vehicle / Vehicle,Left Turn,Non-Incapacitating Injury,West,3,Oracle Rd / River Rd,1,0
1801060452,2018-01-06,2018,Jan,Saturday,1800,Vehicle / Vehicle,Rear-End (Front To Back),Non-Incapacitating Injury,East,2,22nd St / Old Spanish Tr,1,1
1801060488,2018-01-06,2018,Jan,Saturday,2000,Vehicle / Vehicle,Head-On (Front To Front),No Injury,West,3,Camino Villas,1,1
1801060143,2018-01-06,2018,Jan,Saturday,0500,Vehicle / Motorcycle,"Sideswipe, Same Direction",Incapacitating Injury,West,3,Prince Rd / Runway Dr,1,0
1801060205,2018-01-06,2018,Jan,Saturday,0900,Single Vehicle,Single Vehicle,Possible Injury,East,4,Kolb Rd / Stella Rd,0,0
1801060410,2018-01-06,2018,Jan,Saturday,1700,Vehicle / Vehicle,Other,Possible Injury,South,1,Starr Pass Bl / Farmington Rd,1,0
1801060417,2018-01-06,2018,Jan,Saturday,1700,Vehicle / Bicycle,Other,No Injury,West,3,Fontana Av N,1,0
1801060099,2018-01-06,2018,Jan,Saturday,0200,Single Vehicle,Single Vehicle,No Injury,East,2,Broadway Bl / Harrison Rd,1,1
1801060261,2018-01-06,2018,Jan,Saturday,1200,Vehicle / Motorcycle,"Sideswipe, Same Direction",Non-Incapacitating Injury,East,6,Speedway Bl / Rook Av,0,0
1801060427,2018-01-06,2018,Jan,Saturday,1700,Vehicle / Vehicle,Left Turn,No Injury,East,2,Sabino Canyon Rd / Tanque Verde Rd,0,0
1801070227,2018-01-07,2018,Jan,Sunday,1100,Vehicle / Vehicle,Left Turn,No Injury,East,2,Wilmot Rd / Broadway Bl,0,0
1801070293,2018-01-07,2018,Jan,Sunday,1500,Vehicle / Vehicle,Angle (Front To Side),Possible Injury,West,6,Euclid Av / Speedway Bl,1,0
1801070177,2018-01-07,2018,Jan,Sunday,1000,Vehicle / Vehicle,Left Turn,Non-Incapacitating Injury,East,2,22nd St / Kolb Rd,1,0
1801080023,2018-01-07,2018,Jan,Sunday,2300,Single Vehicle,Single Vehicle,Unknown Injury,West,6,9th St / Campbell Av,1,0
1801070247,2018-01-07,2018,Jan,Sunday,1200,Vehicle / Vehicle,Angle (Front To Side),Non-Incapacitating Injury,South,1,22nd St / Freeway Rd / Freeway,1,0
1801070425,2018-01-07,2018,Jan,Sunday,1900,Vehicle / Vehicle,Left Turn,Possible Injury,South,1,Valencia Rd / Calle Santa Cruz / I19 Frontage Rd,1,0
1801070118,2018-01-07,2018,Jan,Sunday,0600,Vehicle / Vehicle,Rear-End (Front To Back),No Injury,Midtown,3,Glenn St / Campbell Av,0,0
1801070319,2018-01-07,2018,Jan,Sunday,1600,Vehicle / Vehicle,Rear-End (Front To Back),Unknown Injury,South,1,Midvale Park Rd / Valencia Rd,1,0
1801070182,2018-01-07,2018,Jan,Sunday,1000,Vehicle / Vehicle,Unknown,Unknown Injury,South,1,E Inez St,1,0
1801080452,2018-01-08,2018,Jan,Monday,1600,Vehicle / Vehicle,Rear-End (Front To Back),Possible Injury,South,1,Commerce Ct / Valencia Rd,1,0
1801080400,2018-01-08,2018,Jan,Monday,1400,Vehicle / Vehicle,Left Turn,Possible Injury,South,1,12th Av / Irvington Rd,1,0
1801080424,2018-01-08,2018,Jan,Monday,1500,Vehicle / Vehicle,Left Turn,Non-Incapacitating Injury,East,2,Sabino Canyon Rd / Tanque Verde Rd,0,0
1801080340,2018-01-08,2018,Jan,Monday,1300,Vehicle / Vehicle,Angle (Front To Side),No Injury,South,1,Midvale Park Rd / Drexel Rd,1,0
1801080375,2018-01-08,2018,Jan,Monday,1400,Vehicle / Vehicle,Rear-End (Front To Back),Fatal Injury,West,6,4th Av / 6th St,1,1
1801080128,2018-01-08,2018,Jan,Monday,0700,Vehicle / Vehicle,Angle (Front To Side),Incapacitating Injury,Midtown,6,Grant Rd / Columbus Bl,0,0
1801080338,2018-01-08,2018,Jan,Monday,1300,Vehicle / Vehicle,Left Turn,No Injury,West,3,Oracle Rd / Limberlost Dr,1,0
1801080485,2018-01-08,2018,Jan,Monday,1600,Vehicle / Vehicle,Left Turn,Non-Incapacitating Injury,Midtown,2,Grant Rd / Swan Rd,0,0
1801080009,2018-01-08,2018,Jan,Monday,0000,Vehicle / Vehicle,"Sideswipe, Same Direction",No Injury,West,3,Glenn St W,1,1
1801080129,2018-01-08,2018,Jan,Monday,0700,Vehicle / Vehicle,Rear-End (Front To Back),No Injury,West,3,Wetmore Rd / Stone Av,1,1
1801080468,2018-01-08,2018,Jan,Monday,1500,Vehicle / Vehicle,Rear-End (Front To Back),No Injury,South,5,6th Av / 44th St,1,0
1801080082,2018-01-08,2018,Jan,Monday,0400,Single Vehicle,Single Vehicle,Incapacitating Injury,Midtown,6,Woodland Av / Speedway Bl,1,0
1801080245,2018-01-08,2018,Jan,Monday,1100,Vehicle / Vehicle,Rear-End (Front To Back),Non-Incapacitating Injury,East,2,Wilmot Rd / Carondelet Dr,0,0
1801080264,2018-01-08,2018,Jan,Monday,1200,Vehicle / Vehicle,Left Turn,No Injury,South,1,Nogales Hy / Valencia Rd,1,0
1801080586,2018-01-08,2018,Jan,Monday,1900,Vehicle / Vehicle,Rear-End (Front To Back),Possible Injury,West,3,Oracle Rd / Prince Rd,1,0
1801090076,2018-01-09,2018,Jan,Tuesday,0600,Vehicle / Vehicle,Left Turn,No Injury,Midtown,4,Kolb Rd / Escalante Rd,1,0
1801090364,2018-01-09,2018,Jan,Tuesday,1500,Vehicle / Vehicle,"Sideswipe, Same Direction",No Injury,Midtown,6,Alvernon Wy / Glenn St,0,1
1801090419,2018-01-09,2018,Jan,Tuesday,1600,Vehicle / Vehicle,Left Turn,Non-Incapacitating Injury,South,5,Campbell Av / Benson Hy,0,0
1801090511,2018-01-09,2018,Jan,Tuesday,2000,Vehicle / Vehicle,Rear-End (Front To Back),No Injury,East,6,Park Place Dr / Chantilly Dr / Broadway Bl,1,0
1801090464,2018-01-09,2018,Jan,Tuesday,1800,Vehicle / Vehicle,Head-On (Front To Front),Possible Injury,East,4,Houghton Rd / Valencia Rd,0,0
1801090551,2018-01-09,2018,Jan,Tuesday,2200,Vehicle / Vehicle,Angle (Front To Side),No Injury,West,1,Speedway Bl / I10 Frontage Rd / Freeway,1,0
1801090353,2018-01-09,2018,Jan,Tuesday,1500,Vehicle / Vehicle,Left Turn,Incapacitating Injury,East,4,Old Spanish Tr / Houghton Rd,0,0
1801090371,2018-01-09,2018,Jan,Tuesday,1500,Single Vehicle,Single Vehicle,Non-Incapacitating Injury,South,5,Antrim Lp / Transcon Wy / Alvernon Wy,1,0
1801090439,2018-01-09,2018,Jan,Tuesday,1700,Vehicle / Vehicle,Rear-End (Front To Back),No Injury,Midtown,6,Calle Jabali / Swan Rd,0,0
1801090416,2018-01-09,2018,Jan,Tuesday,1600,Vehicle / Vehicle,Rear-End (Front To Back),Possible Injury,Midtown,6,Country Club Rd / Broadway Bl,0,0
1801090510,2018-01-09,2018,Jan,Tuesday,2000,Vehicle / Vehicle,Rear-End (Front To Back),No Injury,West,3,Stone Av / Yavapai Rd,1,0
1801090404,2018-01-09,2018,Jan,Tuesday,1600,Vehicle / Vehicle,Rear-End (Front To Back),No Injury,Midtown,5,Alvernon Wy / 22nd St,1,0
1801090429,2018-01-09,2018,Jan,Tuesday,1700,Vehicle / Vehicle,Rear-End (Front To Back),Non-Incapacitating Injury,South,5,Campbell Av / Benson Hy,1,0
1801090446,2018-01-09,2018,Jan,Tuesday,1800,Vehicle / Vehicle,Angle (Front To Side),Non-Incapacitating Injury,West,3,Speedway Bl / Perry Av,1,0
1801090379,2018-01-09,2018,Jan,Tuesday,1500,Vehicle / Vehicle,Left Turn,No Injury,West,3,Jacinto St / Oracle Rd,0,0
1801090462,2018-01-09,2018,Jan,Tuesday,1700,Vehicle / Vehicle,Rear-End (Front To Back),No Injury,South,1,Nogales Hy / Valencia Rd,1,0
1801100367,2018-01-10,2018,Jan,Wednesday,1400,Vehicle / Vehicle,Head-On (Front To Front),No Injury,East,2,Jessica Av / Broadway Bl,1,0
1801100448,2018-01-10,2018,Jan,Wednesday,1600,Vehicle / Vehicle,Angle (Front To Side),No Injury,West,6,6th St / 3rd Av,0,0
1801100535,2018-01-10,2018,Jan,Wednesday,1900,Single Vehicle,Single Vehicle,No Injury,South,5,Ajo Wy / Kino Ajo Connection Ramp / I10 Wb Exit 263 Off Ramp / I10 Wb Exit 263 On Ramp,1,0
1801100507,2018-01-10,2018,Jan,Wednesday,1800,Single Vehicle,Single Vehicle,Non-Incapacitating Injury,South,5,E Alvord Rd,0,0
1801100123,2018-01-10,2018,Jan,Wednesday,0700,Vehicle / Vehicle,Left Turn,No Injury,West,3,Stone Av / Yavapai Rd,0,0
1801100178,2018-01-10,2018,Jan,Wednesday,0900,Vehicle / Vehicle,Left Turn,No Injury,West,3,Prince Rd / Flowing Wells Rd,1,0
1801100211,2018-01-10,2018,Jan,Wednesday,1000,Vehicle / Vehicle,"Sideswipe, Same Direction",No Injury,West,3,I10 Eb Exit 255 On Ramp E,1,0
1801100294,2018-01-10,2018,Jan,Wednesday,1200,Vehicle / Pedestrian,Other,No Injury,Midtown,6,Campbell Av / Elm St,0,0
1801100311,2018-01-10,2018,Jan,Wednesday,1000,Single Vehicle,Single Vehicle,No Injury,South,5,6th Av / 22nd St,1,0
1801100435,2018-01-10,2018,Jan,Wednesday,1600,Vehicle / Vehicle,"Sideswipe, Same Direction",No Injury,Midtown,6,Rita Av N,1,1
1801100511,2018-01-10,2018,Jan,Wednesday,1800,Vehicle / Vehicle,Left Turn,Fatal Injury,East,6,Craycroft Rd / Speedway Bl,1,0
1801100187,2018-01-10,2018,Jan,Wednesday,0800,Vehicle / Vehicle,"Sideswipe, Opposite Direction",Unknown Injury,West,3,Ethan Crossing Ln W,1,0
1801100538,2018-01-10,2018,Jan,Wednesday,2000,Vehicle / Pedestrian,Other,Non-Incapacitating Injury,Midtown,6,Columbus Bl,1,0
1801100197,2018-01-10,2018,Jan,Wednesday,1000,Vehicle / Vehicle,Angle (Front To Side),No Injury,West,3,Glenn St / 1st Av,1,0
1801100440,2018-01-10,2018,Jan,Wednesday,1600,Vehicle / Vehicle,Rear-End (Front To Back),Possible Injury,East,2,Grant Rd / Tanque Verde Rd / Kolb Rd,1,0
1801110217,2018-01-11,2018,Jan,Thursday,0900,Vehicle / Vehicle,Rear-End (Front To Back),Possible Injury,South,1,La Cholla Bl S,0,0
1801110457,2018-01-11,2018,Jan,Thursday,1600,Vehicle / Vehicle,"Sideswipe, Opposite Direction",Non-Incapacitating Injury,South,5,Park Av / Irvington Rd,1,0
1801110468,2018-01-11,2018,Jan,Thursday,1500,Vehicle / Vehicle,Left Turn,No Injury,Midtown,6,14th St / Craycroft Rd / Williams Bl,0,0
1801110273,2018-01-11,2018,Jan,Thursday,1100,Vehicle / Vehicle,Left Turn,Non-Incapacitating Injury,West,3,Forbes Bl / Grant Rd,1,0
1801110524,2018-01-11,2018,Jan,Thursday,1800,Vehicle / Vehicle,Left Turn,Non-Incapacitating Injury,Midtown,5,Alvernon Wy / 22nd St,1,0
1801110444,2018-01-11,2018,Jan,Thursday,1500,Vehicle / Vehicle,Left Turn,No Injury,West,6,10th St,1,0
1801110255,2018-01-11,2018,Jan,Thursday,1100,Vehicle / Vehicle,Left Turn,No Injury,South,1,Commerce Ct / Valencia Rd,1,0
1801110300,2018-01-11,2018,Jan,Thursday,1200,Single Vehicle,Left Turn,Possible Injury,West,6,Campbell Av / Speedway Bl,1,0
1801110431,2018-01-11,2018,Jan,Thursday,1500,Vehicle / Pedestrian,Other,Non-Incapacitating Injury,West,6,1st St / Euclid Av,0,0
1801110330,2018-01-11,2018,Jan,Thursday,1300,Vehicle / Vehicle,Rear-End (Front To Back),No Injury,West,1,Freeway / Congress St,1,0
1801110515,2018-01-11,2018,Jan,Thursday,1800,Single Vehicle,Single Vehicle,No Injury,Midtown,6,Broadway Bl / Rosemont Bl,1,1
1801110331,2018-01-11,2018,Jan,Thursday,1200,Vehicle / Vehicle,"Sideswipe, Same Direction",No Injury,West,1,Congress St E,1,0
1801110409,2018-01-11,2018,Jan,Thursday,1400,Vehicle / Vehicle,Left Turn,Possible Injury,Midtown,6,Randolph Pw / 22nd St / Lakeshore Ln,0,0
1801110449,2018-01-11,2018,Jan,Thursday,1500,Vehicle / Bicycle,Other,No Injury,West,6,Drachman St E,0,0
1801110590,2018-01-11,2018,Jan,Thursday,2100,Vehicle / Vehicle,Left Turn,Non-Incapacitating Injury,South,5,Cherrybell Sv,0,0
1801110126,2018-01-11,2018,Jan,Thursday,0600,Vehicle / Vehicle,Left Turn,Non-Incapacitating Injury,East,2,Kolb Rd / Speedway Bl,0,0
1801110442,2018-01-11,2018,Jan,Thursday,1500,Vehicle / Vehicle,Left Turn,Non-Incapacitating Injury,East,2,Wilmot Rd / Fairmount St,1,0
1801110572,2018-01-11,2018,Jan,Thursday,2000,Vehicle / Vehicle,Left Turn,No Injury,West,3,I10 Frontage Rd / Prince Rd / Casa Grande Hy,0,0
1801110133,2018-01-11,2018,Jan,Thursday,0700,Vehicle / Vehicle,Left Turn,No Injury,West,3,Glenn St / 1st Av,0,0
1801110219,2018-01-11,2018,Jan,Thursday,0900,Vehicle / Vehicle,Rear-End (Front To Back),No Injury,South,5,2nd Av / 22nd St,0,0
1801110469,2018-01-11,2018,Jan,Thursday,1400,Vehicle / Vehicle,Left Turn,Non-Incapacitating Injury,Midtown,6,Craycroft Rd / 22nd St,1,0
1801110476,2018-01-11,2018,Jan,Thursday,1700,Vehicle / Pedestrian,Other,Possible Injury,West,3,Runway Dr N,0,0
